u,v,key,max_depth,is_flooded
316787027,2291112071,0,0.14087994396686554,0
2291112071,2291112072,0,0.10171431303024292,0
2291112071,2291112066,0,0.09721789509057999,0
2291112071,2345262926,0,0.08144640177488327,0
316787028,316787027,0,0.1615070253610611,0
316787028,8859394521,0,0.1439591944217682,0
8859394521,904836986,0,0.10915064811706543,0
8859394521,316787027,0,0.14046704769134521,0
319311332,319314053,0,0.00906527042388916,0
319311332,8559046187,0,0.00971196498721838,0
319311332,319311529,0,0.011295204982161522,0
319314053,319314093,0,0.024746935814619064,0
319314053,5302825147,0,0.019512731581926346,0
319314053,319311332,0,0.00906527042388916,0
8559046187,319311332,0,0.00971196498721838,0
8559046187,2345262928,0,0.013593330048024654,0
8559046187,8559046184,0,0.012834704481065273,0
319311529,319311332,0,0.011295204982161522,0
319311529,2291112072,0,0.04660240560770035,0
319311529,8495905460,0,0.016459902748465538,0
2291112072,2291112071,0,0.10171431303024292,0
2291112072,319311529,0,0.04660240560770035,0
2291112072,8495905475,0,0.0670996680855751,0
8495905460,319311529,0,0.016459902748465538,0
8495905460,319311881,0,0.025445606559515,0
8495905460,8495905475,0,0.03983943909406662,0
319311880,319311881,0,0.03385673463344574,0
319311880,8478213953,0,0.044985830783843994,0
319311881,319311880,0,0.03385673463344574,0
319311881,8496111787,0,0.038719065487384796,0
319311881,8495905460,0,0.025445606559515,0
8478213953,316787028,0,0.11044186353683472,0
8478213953,8478213910,0,0.0339169055223465,0
8496111787,8496111788,0,0.036176227033138275,0
8496111787,320542213,0,0.052601758390665054,0
319314093,12609285931,0,0.02846553549170494,0
319314093,319314053,0,0.024746935814619064,0
319314093,12609285918,0,0.02787173166871071,0
5302825147,319314053,0,0.019512731581926346,0
5302825147,910330177,0,0.02029258757829666,0
5302825147,910330177,1,0.02029258757829666,0
12609285931,12017183246,0,0.09337722510099411,0
12609285931,319314093,0,0.02846553549170494,0
12609285931,12609285918,0,0.016999755054712296,0
12609285918,4083607800,0,0.012238719500601292,0
12609285918,319314093,0,0.02787173166871071,0
12609285918,12609285931,0,0.016999755054712296,0
319314913,319315681,0,0.009469635784626007,0
319314913,319314863,0,0.008231737650930882,0
319314913,5596676501,0,0.010138499550521374,0
319315681,5327487153,0,0.008145365864038467,0
319315681,4083606348,0,0.012109785340726376,0
319315681,319314913,0,0.009469635784626007,0
319314863,319314913,0,0.008231737650930882,0
319314863,4083607800,0,0.008313369005918503,0
319314863,5596658811,0,0.010900936089456081,0
5596676501,319314913,0,0.010138499550521374,0
5596676501,319316245,0,0.009269053116440773,0
5596676501,5596676513,0,0.10647085309028625,0
5327487153,319315681,0,0.008145365864038467,0
5327487153,4083621448,0,0.011433265171945095,0
5327487153,2345273473,0,0.006358427926898003,0
4083606348,319315681,0,0.012109785340726376,0
904836986,8859394521,0,0.10915064811706543,0
904836986,8860456325,0,0.086024709045887,0
904836986,8478197407,0,0.06121688708662987,0
8860456325,2345262924,0,0.10975980013608932,0
8860456325,904836986,0,0.086024709045887,0
8860456325,2345262926,0,0.09387089312076569,0
8478197407,904836986,0,0.06121688708662987,0
8478197407,8478213910,0,0.019469624385237694,0
8478197407,8478213692,0,0.020519517362117767,0
910330082,8454049578,0,0.011851033195853233,0
910330082,910330163,0,0.016752902418375015,0
910330082,5302782088,0,0.02036898396909237,0
8454049578,8454049579,0,0.005586785264313221,0
8454049578,910330177,0,0.009408009238541126,0
8454049578,910330082,0,0.011851033195853233,0
910330163,910330082,0,0.016752902418375015,0
910330163,910330209,0,0.015527966432273388,0
910330163,8454049579,0,0.010496104136109352,0
5302782088,910330082,0,0.02036898396909237,0
5302782088,2291112019,0,0.10689461976289749,0
5302782088,5302826347,0,0.03211621567606926,0
910330086,5863270617,0,0.012220834381878376,0
910330086,910330137,0,0.011283092200756073,0
910330086,2375745076,0,0.009468993172049522,0
5863270617,5593927253,0,0.010690509341657162,0
5863270617,2291112030,0,0.03300021216273308,0
5863270617,2291112008,0,0.025110872462391853,0
5863270617,910330086,0,0.012220834381878376,0
910330137,910330086,0,0.011283092200756073,0
910330137,2345188636,0,0.00791980791836977,0
910330137,2291112034,0,0.013460165821015835,0
2375745076,5593927253,0,0.007938668131828308,0
2375745076,12404523273,0,0.008792527951300144,0
2375745076,910330086,0,0.009468993172049522,0
2375745076,3631003683,0,0.007242338266223669,0
2345188636,910330137,0,0.00791980791836977,0
2345188636,5594204283,0,0.011175286024808884,0
2345188636,5594204304,0,0.025283515453338623,0
2345188636,12404565899,0,0.007617860566824675,0
2291112034,2291112035,0,0.01785282790660858,0
2291112034,2291112030,0,0.03637249767780304,0
2291112034,910330137,0,0.013460165821015835,0
910330209,910330163,0,0.015527966432273388,0
910330209,9074908347,0,0.018187325447797775,0
910330209,5283955681,0,0.011559278704226017,0
8454049579,4083620287,0,0.0064795129001140594,0
8454049579,910330163,0,0.010496104136109352,0
8454049579,8454049578,0,0.005586785264313221,0
910330177,5302825147,0,0.02029258757829666,0
910330177,5302825147,1,0.02029258757829666,0
910330177,8454049578,0,0.009408009238541126,0
9074908347,910330209,0,0.018187325447797775,0
9074908347,2291112000,0,0.03613754361867905,0
9074908347,5302826347,0,0.031195009127259254,0
5283955681,910330209,0,0.011559278704226017,0
5283955681,5283952480,0,0.008334152400493622,0
1906075977,2291111991,0,0.03109925054013729,0
1906075977,2291112008,0,0.04326571151614189,0
2291111991,5283952464,0,0.016501285135746002,0
2291112008,2291112009,0,0.046845294535160065,0
2291112008,2291112004,0,0.03656476363539696,0
2291112008,5863270617,0,0.025110872462391853,0
2291111990,2291112015,0,0.039675142616033554,0
2291111990,2291112000,0,0.031485527753829956,0
2291112015,13234281388,0,0.10146649181842804,0
2291112000,2291111999,0,0.05984882637858391,0
2291112000,9074908347,0,0.03613754361867905,0
2291112000,2291112005,0,0.04716542363166809,0
5283952464,5283952465,0,0.015091941691935062,0
2291111999,2291112000,0,0.05984882637858391,0
2291111999,2291111991,0,0.041460223495960236,0
2291112005,2291112009,0,0.05511355400085449,0
2291112005,2291112004,0,0.039744291454553604,0
2291112004,2291112005,0,0.039744291454553604,0
2291112004,2291111999,0,0.04970749467611313,0
2291112004,5593927253,0,0.021715262904763222,0
5593927253,5863270617,0,0.010690509341657162,0
5593927253,2291112004,0,0.021715262904763222,0
5593927253,2375745076,0,0.007938668131828308,0
2291112009,2291112008,0,0.046845294535160065,0
2291112009,2291112015,0,0.0597880557179451,0
13234281388,2291112018,0,0.1534854769706726,0
13234281388,13234281392,0,0.10351093858480453,0
2291112018,13234281384,0,0.15958769619464874,0
2291112018,13234281392,0,0.11529023200273514,0
13234281384,13234281399,0,0.15040484070777893,0
13234281392,2291112019,0,0.12786607444286346,0
2291112019,5302782088,0,0.10689461976289749,0
2291112019,13234281393,0,0.1436581164598465,0
13234281393,13234281384,0,0.1254051923751831,0
13234281393,13234281399,0,0.12189941108226776,0
2291112030,2291112031,0,0.0433923564851284,0
2291112030,1906075977,0,0.05101343244314194,0
2291112030,5863270617,0,0.03300021216273308,0
2291112031,2291112030,0,0.0433923564851284,0
2291112031,2291112035,0,0.025317134335637093,0
2291112035,2291112034,0,0.01785282790660858,0
2291112035,2291112041,0,0.020471787080168724,0
2291112041,2291112067,0,0.06416197121143341,0
2291112041,2291112054,0,0.024614088237285614,0
2291112067,2291112072,0,0.08806011825799942,0
2291112054,8860456320,0,0.07345793396234512,0
2291112054,2291112056,0,0.0356920026242733,0
2291112042,2291112034,0,0.019132977351546288,0
8860456320,11919667187,0,0.06258485466241837,0
8860456320,2291112067,0,0.10280902683734894,0
2291112056,8485085885,0,0.051422201097011566,0
2291112056,2291112054,0,0.0356920026242733,0
2291112056,2291112057,0,0.09101153165102005,0
8485085885,8485085884,0,0.10245437920093536,0
8485085885,2291112042,0,0.04329540953040123,0
2291112057,8860456321,0,0.14709235727787018,0
2291112057,2291112056,0,0.09101153165102005,0
2291112057,8485085884,0,0.14204370975494385,0
8860456321,2291112057,0,0.14709235727787018,0
8860456321,11919667187,0,0.07835086435079575,0
8860456321,2345262913,0,0.12713469564914703,0
8485085884,2291112057,0,0.14204370975494385,0
8485085884,8485085885,0,0.10245437920093536,0
8485085884,8486039945,0,0.07113783061504364,0
2291112066,2291112042,0,0.047354262322187424,0
2291112066,8860456319,0,0.07513356953859329,0
8860456319,11919667187,0,0.04628333821892738,0
8860456319,2345262913,0,0.09509555995464325,0
2345262926,2291112071,0,0.08144640177488327,0
2345262926,2345262924,0,0.07876525074243546,0
2345262926,8860456325,0,0.09387089312076569,0
8495905475,319311881,0,0.04825354367494583,0
8495905475,8495905460,0,0.03983943909406662,0
2330942804,2330942817,0,0.012260242365300655,0
2330942804,2876158660,0,0.009217999875545502,0
2330942804,2345188529,0,0.013391864486038685,0
2330942817,12404558553,0,0.018087564036250114,0
2330942817,2330942804,0,0.012260242365300655,0
2330942817,12404510365,0,0.014127353206276894,0
2876158660,2330942804,0,0.009217999875545502,0
2876158660,2330942563,0,0.02029028721153736,0
2345188529,12404565899,0,0.013585031032562256,0
