ward_id,building_density,green_density
1,1.1870691251779248,0.0
2,10.724248899002745,0.6524343563486029
3,1.6536374348310587,0.7651916042901403
4,1.705734450922252,0.0025685776990867497
5,0.3860276203145826,0.0
6,2.173268085037473,0.0
7,3.6697180894195673,0.012761398599212794
8,1.2965602826646894,0.0
9,1.3590106363545942,1.0323199477075422
10,2.8556502498671295,0.3205095002138382
11,0.16729792408217609,0.22071623477888125
12,1.5493533977801843,0.3552640363654547
13,0.16183656686373152,0.0
14,1.6506456069336057,0.0
15,2.0046470222577573,0.015412892484327662
16,1.5153430530585532,0.008033442710487117
17,2.4154879514041845,0.0
18,1.2574210002355657,0.20348239996942452
19,1.864857744515865,3.0345038147766745
