ward_id,time_hospital,time_school,time_transport
13,2.206397371199604,9.37198687019215,22.808003407027545
16,5.885481546167628,62.58454451440909,16.830428896664095
14,1.3927671890683972,11.281579883730279,8.918597447293765
15,2.0719755369488597,40.68371484499146,23.627506332676525
6,3.571205892436095,25.609583940571973,23.70371807277784
7,1.4407507792359666,0.0,30.071772935579837
12,5.081613326236267,81.80597951254974,72.93711281604291
17,1.9245025012193375,14.84764855416937,12.105629422339778
18,1.9243694717557227,38.96391289591864,23.994977309831704
19,5.525327882974078,25.761141672235325,35.81848420874535
5,0.7841884301114801,55.74071158600487,39.083231573356244
4,10.264792237954657,65.50032148193215,23.408792019598256
3,3.5388475712810985,41.25774619600574,24.726848078865643
2,1.4155557274814177,45.486341966192334,26.259436039846538
1,1.3510577376626602,63.527779240845966,22.714076228100406
8,1.9838880570880502,47.30821715032429,26.548701218017367
9,4.112003099082507,27.16838679007132,35.44919836486959
10,6.638072343606738,53.5904258415321,70.06933493496008
11,1.9942407649494365,48.01269046605186,44.57162397065115
