ward_id,bus_stop_density,bus_access_score
1,2.9781705865800063,0.05163866793923475
2,1.2483544516099796,0.021645288314790585
3,0.0,0.0
4,2.404278935755881,0.041687928205404484
5,6.750551873868638,0.1170482000567958
6,4.186188372268133,0.0725845565263199
7,1.8427339695709173,0.031951268333589196
8,12.564831141454828,0.21786231653413432
9,2.4979701107045336,0.043312444777360175
10,11.758107699260169,0.20387449322475004
11,57.67326512148874,1.0
12,50.223826212375215,0.8708337581820401
13,10.510356945274753,0.1822396724571547
14,20.38653687913669,0.3534833139097023
15,30.632470690835607,0.5311381387252534
16,4.133659988362846,0.07167376391219209
17,19.08742092095954,0.3309578689667021
18,9.211787070909725,0.1597236960922031
19,7.815729999840377,0.13551738371976238
