,Mean,Std Dev,Min,Median,Max
Dist to Center (km),6.001145699824129,1.8919360170921422,2.1958390957785388,6.930379761460905,7.661861151849477
Greenery (%),0.34858937926019334,0.7186345566658767,0.0,0.0127613985992127,3.0345038147766745
Built Density (%),2.084095533722297,2.26011662246976,0.1618365668637315,1.6506456069336055,10.724248899002744
Time to Hospital,5.2084210526315795,3.2114660258342638,0.29,5.97,10.84
Time to School,8.498947368421053,4.186215334930749,1.03,8.2,15.26
Time to Transport,7.19842105263158,3.883770022882827,2.61,7.54,16.37
