ward_id,flood_risk_score,risk_area_sqm,building_density,green_density,norm_flood,norm_pop,Risk_Category
1,0.0,0.0,1.1870691251779248,0.0,0.0,0.09706424309858125,SAFE / LOW RISK
2,0.264,3781615.18,10.724248899002744,0.6524343563486029,0.264,1.0,DENSE (Low Flood Risk)
3,0.0,0.0,1.6536374348310587,0.7651916042901403,0.0,0.14123675738620026,SAFE / LOW RISK
4,0.0,0.0,1.705734450922252,0.0025685776990867,0.0,0.14616906020235465,SAFE / LOW RISK
5,0.0,0.0,0.3860276203145826,0.0,0.0,0.02122536466112849,SAFE / LOW RISK
6,0.0445,574361.7,2.173268085037473,0.0,0.0445,0.19043296691357275,SAFE / LOW RISK
7,0.0,0.0,3.6697180894195673,0.0127613985992127,0.0,0.33210988287989407,SAFE / LOW RISK
8,0.0,0.0,1.2965602826646894,0.0,0.0,0.1074303558807539,SAFE / LOW RISK
9,0.0,0.0,1.3590106363545942,1.0323199477075422,0.0,0.11334286447501535,SAFE / LOW RISK
10,0.3016,4833843.68,2.855650249867129,0.3205095002138382,0.3016,0.25503773175060934,SAFE / LOW RISK
11,0.0,0.0,0.167297924082176,0.2207162347788812,0.0,0.0005170558624971351,SAFE / LOW RISK
12,0.0351,437555.4,1.5493533977801843,0.3552640363654547,0.0351,0.13136363051218475,SAFE / LOW RISK
13,0.0,0.0,0.1618365668637315,0.0,0.0,0.0,SAFE / LOW RISK
14,0.0,0.0,1.6506456069336055,0.0,0.0,0.14095350505677265,SAFE / LOW RISK
15,0.0,0.0,2.0046470222577573,0.0154128924843276,0.0,0.1744687101247481,SAFE / LOW RISK
16,0.0169,225842.45,1.5153430530585532,0.0080334427104871,0.0169,0.12814368949377314,SAFE / LOW RISK
17,0.0,0.0,2.4154879514041845,0.0,0.0,0.21336521560355165,SAFE / LOW RISK
18,0.0,0.0,1.2574210002355657,0.2034823999694245,0.0,0.10372483093073545,SAFE / LOW RISK
19,0.264,3798374.51,1.864857744515865,3.0345038147766745,0.264,0.16123411244514935,SAFE / LOW RISK
