ward_id,UOI_Score,Score_Health,Score_Edu,Score_Mobility,flood_risk_pct
11,65.32,1.0,0.631,0.4416,20.11
15,39.49,1.0,0.98675,0.06239999999999998,68.34
19,26.1,1.0,0.11475000000000013,0.15497142857142854,52.88
6,1.0,1.0,1.0,0.0,66.13
8,0.95,1.0,0.8625,0.0,43.53
16,0.91,1.0,0.756,0.0,21.46
4,0.9,0.9895,0.72675,0.0,15.47
13,0.89,1.0,0.6940000000000001,0.0,38.22
12,0.87,1.0,0.64725,0.0,68.3
2,0.83,0.94075,0.6005,0.0,82.15
17,0.83,1.0,0.5655,0.0,52.02
14,0.8,1.0,0.517,0.0,18.16
10,0.51,1.0,0.13550000000000006,0.0,51.42
3,0.01,0.89025,0.0,0.0,38.41
1,0.01,0.8945,0.0,0.0,44.76
9,0.01,0.9825,0.0,0.0,52.37
7,0.01,0.96975,0.0,0.0,18.43
5,0.01,0.924,0.0,0.0,50.4
18,0.01,1.0,0.0,0.0,28.46
